,new_cases_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,Africa,Asia,Europe,North America,Oceania,South America
56,1556.757,2.714,4.726,0.151,6.6,84.19,78.44,31.77,55.56,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,30.549500000000002,3.84,83.44,0.944,0,0,0,0,1,0
57,939.499,3.18,4.553,0.159,6.3,84.3,78.5,32.65,55.56,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,30.549500000000002,3.84,83.44,0.944,0,0,0,0,1,0
58,1247.818,3.335,4.385,0.161,6.2,84.39,78.56,33.47,55.56,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,30.549500000000002,3.84,83.44,0.944,0,0,0,0,1,0
59,1060.019,3.141,4.371,0.134,7.5,84.49,78.62,34.27,55.56,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,30.549500000000002,3.84,83.44,0.944,0,0,0,0,1,0
60,891.299,1.784,4.197,0.119,8.4,84.55,78.65,34.67,55.56,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,30.549500000000002,3.84,83.44,0.944,0,0,0,0,1,0
61,979.013,1.861,4.025,0.125,8.0,84.59,78.67,34.89,55.56,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,30.549500000000002,3.84,83.44,0.944,0,0,0,0,1,0
62,1061.454,2.094,3.933,0.108,9.3,84.66,78.72,35.61,55.56,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,30.549500000000002,3.84,83.44,0.944,0,0,0,0,1,0
63,2886.74,1.769,82.511,0.0435,23.0,75.1,72.11,54.08,61.11,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,97.164,7.37,81.54,0.922,0,0,1,0,0,0
64,3066.436,1.438,89.348,0.0403,24.8,75.1,72.11,54.08,61.11,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,97.164,7.37,81.54,0.922,0,0,1,0,0,0
65,4863.17,1.769,80.275,0.046,21.7,75.1,72.11,54.08,61.11,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,97.164,7.37,81.54,0.922,0,0,1,0,0,0
66,3720.196,2.322,78.618,0.0466,21.5,75.1,72.11,54.08,61.11,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,97.164,7.37,81.54,0.922,0,0,1,0,0,0
67,4074.722,2.654,78.267,0.0466,21.5,75.1,72.11,54.08,61.11,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,97.164,7.37,81.54,0.922,0,0,1,0,0,0
68,3671.319,1.88,79.319,0.0459,21.8,75.1,72.11,54.08,61.11,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,97.164,7.37,81.54,0.922,0,0,1,0,0,0
69,3315.245,2.765,81.295,0.045,22.2,75.1,72.11,54.08,61.11,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,97.164,7.37,81.54,0.922,0,0,1,0,0,0
70,510.89,2.054,1.256,0.2975,3.4,51.19,46.4,20.17,79.63,119.309,32.4,6.018,3.871,15847.419,1.65,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,0,1,0,0,0,0
71,647.538,2.348,1.35,0.3122,3.2,51.22,46.41,20.48,79.63,119.309,32.4,6.018,3.871,15847.419,1.65,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,0,1,0,0,0,0
72,597.945,1.761,1.237,0.3718,2.7,51.25,46.43,20.81,79.63,119.309,32.4,6.018,3.871,15847.419,1.65,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,0,1,0,0,0,0
73,689.598,2.543,1.373,0.3705,2.7,51.28,46.45,21.11,79.63,119.309,32.4,6.018,3.871,15847.419,1.65,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,0,1,0,0,0,0
74,753.569,2.25,1.593,0.3495,2.9,51.31,46.47,21.42,79.63,119.309,32.4,6.018,3.871,15847.419,1.65,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,0,1,0,0,0,0
75,731.072,2.445,1.813,0.3266,3.1,51.265,46.44,20.96,79.63,119.309,32.4,6.018,3.871,15847.419,1.65,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,0,1,0,0,0,0
76,457.776,2.641,1.91,0.3282,3.0,51.34,46.49,21.69,79.63,119.309,32.4,6.018,3.871,15847.419,1.65,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,0,1,0,0,0,0
77,110.855,0.0,1.114,0.1189,8.4,40.07,38.51,5.04,42.59,39.497,34.3,8.996,5.2,27717.847,2.2,235.954,13.17,3.1,20.4,85.198,2.9,73.92,0.814,0,0,0,1,0,0
78,98.258,5.039,1.008,0.1296,7.7,40.07,38.51,5.04,42.59,39.497,34.3,8.996,5.2,27717.847,2.2,235.954,13.17,3.1,20.4,85.198,2.9,73.92,0.814,0,0,0,1,0,0
79,88.18,0.0,1.028,0.1064,9.4,40.07,38.51,5.04,42.59,39.497,34.3,8.996,5.2,27717.847,2.2,235.954,13.17,3.1,20.4,85.198,2.9,73.92,0.814,0,0,0,1,0,0
80,0.0,0.0,1.01,0.093,10.8,40.07,38.51,5.04,42.59,39.497,34.3,8.996,5.2,27717.847,2.2,235.954,13.17,3.1,20.4,85.198,2.9,73.92,0.814,0,0,0,1,0,0
81,88.18,2.519,1.035,0.0796,12.6,40.07,38.51,5.04,42.59,39.497,34.3,8.996,5.2,27717.847,2.2,235.954,13.17,3.1,20.4,85.198,2.9,73.92,0.814,0,0,0,1,0,0
82,146.127,10.078,0.998,0.0942,10.6,40.07,38.51,5.04,42.59,39.497,34.3,8.996,5.2,27717.847,2.2,235.954,13.17,3.1,20.4,85.198,2.9,73.92,0.814,0,0,0,1,0,0
83,73.064,0.0,1.086,0.0795,12.6,40.07,38.51,5.04,42.59,39.497,34.3,8.996,5.2,27717.847,2.2,235.954,13.17,3.1,20.4,85.198,2.9,73.92,0.814,0,0,0,1,0,0
84,4674.84,0.0,14.709,0.2457,4.1,70.03,68.32,53.8,50.93,1935.907,32.4,2.372,1.387,43290.705,1.65,151.689,16.52,5.8,37.6,72.704,2.0,77.29,0.852,0,1,0,0,0,0
85,4492.377,0.572,13.963,0.2762,3.6,70.05,68.35,53.89,50.93,1935.907,32.4,2.372,1.387,43290.705,1.65,151.689,16.52,5.8,37.6,72.704,2.0,77.29,0.852,0,1,0,0,0,0
86,4611.922,0.572,15.359,0.2661,3.8,70.09,68.37,53.99,50.93,1935.907,32.4,2.372,1.387,43290.705,1.65,151.689,16.52,5.8,37.6,72.704,2.0,77.29,0.852,0,1,0,0,0,0
87,4160.053,0.0,16.962,0.2439,4.1,70.11,68.38,54.03,50.93,1935.907,32.4,2.372,1.387,43290.705,1.65,151.689,16.52,5.8,37.6,72.704,2.0,77.29,0.852,0,1,0,0,0,0
88,4252.143,0.572,15.97,0.2627,3.8,70.13,68.39,54.07,50.93,1935.907,32.4,2.372,1.387,43290.705,1.65,151.689,16.52,5.8,37.6,72.704,2.0,77.29,0.852,0,1,0,0,0,0
89,4409.439,0.0,14.979,0.2854,3.5,70.15,68.43,54.17,50.93,1935.907,32.4,2.372,1.387,43290.705,1.65,151.689,16.52,5.8,37.6,72.704,2.0,77.29,0.852,0,1,0,0,0,0
