,iso_code,date,new_cases_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,human_development_index,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America
90,BHR,2/7/2022,4027.924,1.716,15.115,0.2895,3.5,68.45,50.93,1935.907,32.4,2.372,43290.705,1.65,151.689,16.52,5.8,37.6,2.0,0.852,0,1,0,0,0,0
91,BGD,2/1/2022,79.096,0.186,0.268,0.3081,3.2,37.5,68.52,1265.036,27.5,5.098,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,0.632,0,1,0,0,0,0
92,BGD,2/2/2022,73.318,0.216,0.264,0.3018,3.3,37.5,68.52,1265.036,27.5,5.098,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,0.632,0,1,0,0,0,0
93,BGD,2/3/2022,69.728,0.198,0.26,0.2925,3.4,37.5,68.52,1265.036,27.5,5.098,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,0.632,0,1,0,0,0,0
94,BGD,2/4/2022,54.431,0.18,0.254,0.2776,3.6,37.5,68.52,1265.036,27.5,5.098,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,0.632,0,1,0,0,0,0
95,BGD,2/5/2022,50.264,0.216,0.255,0.2692,3.7,37.5,68.52,1265.036,27.5,5.098,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,0.632,0,1,0,0,0,0
96,BGD,2/6/2022,50.179,0.174,0.252,0.26,3.8,37.5,68.52,1265.036,27.5,5.098,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,0.632,0,1,0,0,0,0
97,BGD,2/7/2022,56.337,0.228,0.251,0.2466,4.1,37.5,68.52,1265.036,27.5,5.098,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,0.632,0,1,0,0,0,0
98,BRB,2/1/2022,2731.937,3.476,1.0314999999999999,0.20350000000000001,4.9,51.318,59.26,664.463,39.8,14.952,16978.068,2.2,170.05,13.57,1.9,14.5,5.8,0.814,0,0,0,1,0,0
99,BRB,2/2/2022,2366.983,3.476,1.0314999999999999,0.20350000000000001,4.9,51.318,59.26,664.463,39.8,14.952,16978.068,2.2,170.05,13.57,1.9,14.5,5.8,0.814,0,0,0,1,0,0
